run_id,agent,env,trial,state,sharpe,mean_pnl,std_pnl,n_train_steps,n_eval_episodes,p_learning_rate,p_n_steps,p_batch_size,p_n_epochs,p_gamma,p_ent_coef,p_clip_range,p_gae_lambda
tuned_v1,PPOAgent,ABMVanillaEnv,26,COMPLETE,1.074719,7.63,7.0995,30000,5,0.0022430453746857012,1024,256,6,0.9844134425367341,0.006242011774753402,0.2,0.9695231508803285
tuned_v1,PPOAgent,ABMVanillaEnv,27,COMPLETE,0.003104,0.1128,36.3534,30000,5,0.0017504397491930163,1024,64,4,0.9999787853989933,0.002717606285602565,0.2,0.9688091009672656
tuned_v1,PPOAgent,ABMVanillaEnv,28,COMPLETE,0.256437,5.7015,22.2333,30000,5,0.005032006780961353,512,128,8,0.9730999856427349,0.09395783289321936,0.2,0.9736197386061299
tuned_v1,PPOAgent,ABMVanillaEnv,29,COMPLETE,-0.197364,-2.9499,14.9468,30000,5,0.001020700884776871,2048,512,8,0.9666406103144541,0.0007477833054790925,0.1,0.9563128920029791
tuned_v1,PPOAgent,ABMJumpEnv,0,COMPLETE,-0.409096,-14.9165,36.462,30000,5,0.0001329291894316216,512,512,7,0.9708072577796045,0.00011527987128232407,0.1,0.8363649934414201
tuned_v1,PPOAgent,ABMJumpEnv,1,COMPLETE,-0.620244,-15.0955,24.338,30000,5,3.5498788321965036e-05,1024,128,5,0.9456069984217036,0.02267398652378041,0.3,0.8092900825439996
tuned_v1,PPOAgent,ABMJumpEnv,2,COMPLETE,-0.085363,-3.2965,38.6167,30000,5,0.0006647135865318024,2048,64,8,0.9440152493739602,0.00023233503515390126,0.3,0.8517559963200034
tuned_v1,PPOAgent,ABMJumpEnv,3,COMPLETE,0.079133,0.8354,10.5564,30000,5,0.0009717775305059633,2048,128,10,0.9597899978811085,0.058293845429947415,0.2,0.8650660661526529
tuned_v1,PPOAgent,ABMJumpEnv,4,COMPLETE,0.04505,0.4685,10.4001,30000,5,0.00014656553886225324,1024,512,2,0.9986886936600518,0.020736445177905034,0.3,0.9413714687695235
tuned_v1,PPOAgent,ABMJumpEnv,5,COMPLETE,0.560572,8.9321,15.9339,30000,5,0.0015382308040279,512,128,2,0.9310982321715663,0.0009452571391072313,0.3,0.8944429850323898
tuned_v1,PPOAgent,ABMJumpEnv,6,COMPLETE,0.976781,13.6947,14.0203,30000,5,2.284455685002053e-05,1024,64,2,0.9107891426993304,0.000124247470836602,0.1,0.9815132947852186
tuned_v1,PPOAgent,ABMJumpEnv,7,COMPLETE,0.825431,43.7719,53.0292,30000,5,5.59598687800608e-05,1024,512,9,0.9633403756510424,0.04115113049561091,0.3,0.9078684483831302
tuned_v1,PPOAgent,ABMJumpEnv,8,COMPLETE,-0.313602,-7.0126,22.3616,30000,5,0.0026443593078398627,512,512,2,0.9510747302577566,0.0017874463256238437,0.3,0.9885819407825038
